permno,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
10886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1853659153,,,,,,,,,,,,,,,,,,,,,,,,,,,
10892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.140497625,,,,,,,,,,,,,,,,,,,,
10901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0390367769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11043,,,,,,,,,,,,,,,0.0146226343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048580352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.071955748,,,,,,-0.006871908,,,,,,,0.1938264668,,,,,
11267,,,,,,,,,,,,,,,,,,0.0928603113,,,,,,,,,,,,,0.1663961262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029453021,
11275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.328903645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0076923007,,,,
11292,,,,,,,,,,,,,,,,,,-0.029871982,,,,-0.041812722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11343,,,,,,,,,,,,,,,,,,,,,-0.02259833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0422392,,,,,,,,,,,,,,,,,,,,,,,,,,,
11348,,,,,,,,,,,,,,-0.04179661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.036859564,,,,,,,,,,,,,,,,,,,,,,,,,
11394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.120603018,2.2828571796,,,,,,,[0.17452838 0.17452838],,,-0.164222926,,,,-0.032846685,,,,,,,,,,,,,,-0.088715672,,-0.60305959,,,,,,,,,,,,,,
11441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.124060206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11481,,,,,,,,,,,,,,,,0.0402684547,,,,,,,-0.174751356,,,,,,,,,,,,,,,,,,,,-0.013640443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11499,,,,,-0.167404816,,,,,,,,-0.116959043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11511,,,,,,,0.1260503978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03568748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11593,,-0.028368834,,,,,,,,,,,,0.1477272958,,,,,,,,0.0961538479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002999973,,,,,-0.164473683,,,,,,,,,,,,,,,
11636,,,,,,,,,,,,,,,,,,,,0.0293724556,,,,,0.0370084457,,,,,,,,,,,-0.080594659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.362869173,,,,,,,,,
11701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003726746,,,,0.134876281,,,,,,,,,,,,,,,,,,,,,,,,,,-0.058947351,,,,,,,,,,
11790,,,,,,,,,,,,,,,,,,,,,,,-0.001510551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11803,,,,,,,,,,-0.063157938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11825,,,,,,,,,,,0.1041666716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0671399534,,,,,,,,
11995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.070824198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140350908,-0.043076955,,,,,,,,,,-0.080555551,,,,,,,,,,,,,,,,,,,,0.0808823332,,,,,,,,,,,
12017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0276512764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.125542179,,,,,,,,,,,,
12049,,,,,,,,,,,,,,,,,,0.0563569069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12078,,,,,,,,,,,,,,,,,,,,,,-0.009230761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0567010529,,,,,,,,,,,,,,,
12146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2238806188,,,,,,,,
12166,,,,0.0361445993,,,,,,,,,,,,,,,,,,-0.05594407,0.1185185462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12189,,,,,,,,0.0401922055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12209,,,,-0.105312131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12226,,,,,,,,,,,,,,,,,,,,,,,-0.043557685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12266,,,,,,,,,,,0.1045751646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6516854763,,,,,,,,,,,,,,,,
12310,,,,,0.017543843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1182795167,,,,,,,,,,5.05134e-05,,,,,,,,,,,,,,,,,,-0.04102112,,,,,,
12340,,,,,,,,,,,,,-0.011456579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12348,0.0789473578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12350,,,,,,,,,,,,,,,,,-0.15384613,,,,-0.13204512,,,,,,,,,,,,,,,,,-0.053125024,,,-0.018181801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.228025481,,,,,,,,,,,,,,,,,,,,,,,,,0.0720000267,,,,,,,,,,,,,,,,,,,0.2195121795,,,,,,,,,,,
12360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271948606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4539189935,,,,,,,,,,,,,,
12400,0.1161601916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.502084553,,,,,,-0.005044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437,0.0280374009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12452,,,,,,,,,,,,,,,,,,,,,,,0.1136364117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12473,-0.06280791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12488,,,,,,,,-0.203703716,0.2034883201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12493,,-0.05017297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.185932696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.094827563,,,,,,,,,,,,,-0.201219544,,,,,,,,,,,,[-0.20161936 -0.20161936],0.1714040935
12502,,,,,,,,,,,,,,,,,,,,,,,0.0686712787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01632653,,,,,,,,,,,,,,,,,,,,,,,,,
12521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2457912564,,,,,,,,,,,,,,0.1612903178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5238096118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.128571391,,,,,,
12559,,,,,,,,,,,,,,,,,,,0.022471888,,,,,,,,,,,,0.0980862081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12575,,,,,,,,,,,,-0.145708576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.218512908,,,,,,,,,,,,,,,,,,,,,,,,,,
12579,,,,,,,,,-0.039538421,,,,,,,,,,,,,,,,,,,,,,,,0.2546815872,,,,,,,,,,,1.278942585,-0.200320005,,,,,,,,,,,,,,,,,,,,,,,0.0646258667,,,,-0.12844041,,,,,,,,,,,,0.0265486483
12583,,,,,,,,,,-0.146471381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.237644598,,,,-0.171467766,,,,,,,,,,,,,,,
12639,,,,,,,0.1275524795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12640,,,-0.015228412,,,,,,,,,,,,,,,,,-0.088571414,,,,,,,,0.1504231989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12660,-0.196557984,,,,,,,,,,,,,,,,-0.098591521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12667,,,-0.603411496,,,,,,,,,,,,0.057894744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.030120455,,-0.33632654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12789,,,,,,,,,,,0.2830189466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011695895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12792,,,,,,,,,,,,,,,,-0.204081684,0.9316239953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12795,,-0.010128882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11179769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048653379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12835,-0.013574712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.115702495,,,,,,,-0.006802714,,,-0.357479036,,,,,,,,,,,,,,,,,,,
12915,,,,,,-0.135861009,,,,,,,,,,,,,,,,,,,-0.090234853,,,,,0.0381951928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12916,,,,,,,,,,,,,,-0.018124798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
