permno,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
10026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0482710414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,,,,,,,0.0058084191,,,,,,,,,,,,,,,,-0.070212826,,,,,0.0341121703,,,,,,,,,,,,,,0.699164331,,,,,,,,,,,,,,,,,-0.068649821,,,,,,,,,,,,,,,,,,,,,,,,,
10051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
10158,,,,-0.015267233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.232954532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0410115905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10200,,,,,,,,0.0844300389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239,,,,,,,,,,,,,,,,,,,,0.0184154008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10253,,,,,,,,,,,,0.9780218601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1620111614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10258,,,,,,,,,,,,-0.053333361,,,,,,,-0.076648131,,,,,,1.5659422874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1394658834,,,,,,,,,,,,,,,,,
10355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057735309,,,,,,,,,,,,-0.018414997,,,,,,,,,,,,,,,
10363,-0.307471246,,,,,,,,,,,,,,,0.0198510978,,,,,,,,,,,-0.134989932,-0.133540392,,,-0.17317313,,,,,,,,,0.2993527353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1764705777,,,,,,,,,,,,,,,,,,,,,,,,,
10443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.082264714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
